ecosystem,environment,name,version,dependency_type,source,license_expression,evidence_url,review_status,redistribution,notes
python,backend,httptools,0.8.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/httptools/0.8.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,httpx,0.28.1,direct-main,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/httpx/0.28.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,huggingface-hub,1.23.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/huggingface-hub/1.23.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,humanfriendly,10.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/humanfriendly/10.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,idna,3.18,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/idna/3.18/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,importlib-metadata,9.0.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/importlib-metadata/9.0.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,importlib-resources,7.1.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/importlib-resources/7.1.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,iniconfig,2.3.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/iniconfig/2.3.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,jinja2,3.1.6,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/jinja2/3.1.6/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,joblib,1.5.3,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/joblib/1.5.3/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,jsonschema,4.26.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/jsonschema/4.26.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,jsonschema-specifications,2025.9.1,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/jsonschema-specifications/2025.9.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,kubernetes,36.0.2,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/kubernetes/36.0.2/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,markdown-it-py,4.2.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/markdown-it-py/4.2.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,markupsafe,3.0.3,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/markupsafe/3.0.3/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,mdurl,0.1.2,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/mdurl/0.1.2/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,mmh3,5.2.1,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/mmh3/5.2.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,mpmath,1.3.0,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/mpmath/1.3.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,multidict,6.7.1,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/multidict/6.7.1/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,networkx,3.4.2,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/networkx/3.4.2/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,numpy,2.2.6,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/numpy/2.2.6/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,oauthlib,3.3.1,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/oauthlib/3.3.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,onnxruntime,1.23.2,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/onnxruntime/1.23.2/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,opentelemetry-api,1.43.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/opentelemetry-api/1.43.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,opentelemetry-exporter-otlp-proto-common,1.43.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/opentelemetry-exporter-otlp-proto-common/1.43.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,opentelemetry-exporter-otlp-proto-grpc,1.43.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/opentelemetry-exporter-otlp-proto-grpc/1.43.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,opentelemetry-proto,1.43.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/opentelemetry-proto/1.43.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,opentelemetry-sdk,1.43.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/opentelemetry-sdk/1.43.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,opentelemetry-semantic-conventions,0.64b0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/opentelemetry-semantic-conventions/0.64b0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,orjson,3.11.9,transitive,https://pypi.org/simple,MPL-2.0 AND (Apache-2.0 OR MIT),https://pypi.org/project/orjson/3.11.9/,approved,retain MPL notices and provide source for modified MPL-covered files,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,overrides,7.7.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/overrides/7.7.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,packaging,26.2,transitive,https://pypi.org/simple,Apache-2.0 OR BSD-2-Clause,https://pypi.org/project/packaging/26.2/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pillow,12.3.0,direct-main,https://pypi.org/simple,MIT-CMU,https://pypi.org/project/pillow/12.3.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
